year,make,model,class,pi,drive type,speed,handling,acceleration,launch,braking,average,country,car value,engine position,notes
1980,Abarth,131 Abarth ,E,204,RWD,"3,0","4,4","5,3","6,1","4,4","4,6",Italy,35.000 CR,Front,
2010,Abarth,500 esseesse,D,312,FWD,"3,8","4,0","5,7","6,1","3,9","4,7",Italy,20.000 CR,Front,
2008,Acura,#15 Lowe's Fernandez ARX-01b,R1,954,RWD,"8,1","9,8","9,7","8,5","9,8","9,2",United States,2.000.000 CR,Mid,
2008,Acura,#26 Andretti-Green Racing ARX-01b,R1,954,RWD,"8,1","9,8","9,7","8,5","9,8","9,2",United States,2.000.000 CR,Mid,
2008,Acura,#66 de Ferran Motorsports ARX-01b,R1,954,RWD,"8,1","9,8","9,7","8,5","9,8","9,2",United States,2.000.000 CR,Mid,
2009,Acura,#66 de Ferran Motorsports ARX-02a,R1,990,RWD,"9,2","10,0","9,5","8,2","10,0","9,4",United States,2.500.000 CR,Mid,
2009,Acura,#66 de Ferran Motorsports Jim Hall ARX-02a,R1,989,RWD,"9,2","10,0","9,5","8,2","10,0","9,4",United States,2.500.000 CR,Mid,
2001,Acura,Integra Type-R,C,388,FWD,"5,0","4,7","6,0","6,3","4,6","5,3",United States,12.000 CR,Front,
1997,Acura,NSX,B,471,RWD,"6,6","5,2","7,0","7,2","5,1","6,2",United States,38.000 CR,Mid,
2005,Acura,NSX,B,476,RWD,"7,0","5,2","7,0","7,1","5,1","6,3",United States,64.000 CR,Mid,
2002,Acura,RSX Type-S,D,342,FWD,"5,1","4,4","5,9","6,1","4,3","5,2",United States,10.000 CR,Front,
2010,Acura,TSX V6,C,375,FWD,"6,8","4,8","5,7","5,6","4,5","5,5",United States,21.000 CR,Front,
1992,Alfa Romeo,155 Q4 ,D,345,AWD,"4,7","4,4","5,8","6,5","4,3","5,1",Italy,7.000 CR,Front,February ALMS Pack
1968,Alfa Romeo,33 Stradale,A,509,RWD,"6,5","4,9","8,3","8,1","4,8","6,5",Italy,"3,000,000 CR",Mid,September Pennzoil Car Pack
2007,Alfa Romeo,8C Competizione,A,562,RWD,"7,9","5,4","7,8","7,6","5,3","6,8",Italy,280.000 CR,Front,
2009,Alfa Romeo,Brera Italia Independent,D,347,AWD,"4,7","4,7","5,3","5,8","4,6","5,0",Italy,32.000 CR,Front,
1965,Alfa Romeo,Giulia Sprint GTA Stradale,E,208,RWD,"3,0","3,7","6,1","6,4","3,7","4,6",Italy,60.000 CR,Front,
2011,Alfa Romeo,Giulietta Quadrifoglio Verde,C,409,FWD,"5,1","4,8","6,1","6,2","4,7","5,4",Italy,36.000 CR,Front,Pre-order Exclusive
1986,Alfa Romeo,GTV-6,F,185,RWD,"3,7","4,1","4,8","5,1","4,1","4,4",Italy,9.000 CR,Front,March Pirelli Car Pack
2008,Alfa Romeo,MiTo,D,292,FWD,"3,8","4,3","5,3","5,7","4,1","4,7",Italy,20.000 CR,Front,
1970,Alfa Romeo,Montreal,E,229,RWD,"4,0","4,0","5,4","6,0","4,0","4,7",Italy,27.000 CR,Front,January Jalopnik Pack
1986,Alfa Romeo,Spider Quadrifoglio Verde,F,145,RWD,"3,1","4,2","4,0","4,0","4,0","3,9",Italy,5.000 CR,Front,December IGN Pack
1973,AMC,Gremlin X,F,161,RWD,"3,0","3,7","4,9","5,7","3,8","4,2",United States,5.000 CR,Front,July Car Pack
1971,AMC,Javelin-AMX,D,355,RWD,"3,0","3,8","7,0","6,4","3,8","4,8",United States,20.000 CR,Front,
1977,AMC,Pacer X,F,104,RWD,"3,0","3,7","3,7","4,2","3,7","3,7",United States,5.000 CR,Front,May TopGear Car Pack
2012,Ascari,KZ1R,S,626,RWD,"8,8","6,0","8,4","7,9","5,9","7,4",United Kingdom,350.000 CR,Mid,July Car Pack
2554,Asklon,M12 FAV Warthog,S,669,AWD,"6,4","4,9","9,6","9,7","5,5","7,2",United States,343.000 CR,Front,Autovista
2009,Aston Martin,#007 Aston Martin Lola,R1,989,RWD,"9,2","9,9","9,8","8,7","9,8","9,5",United Kingdom,2.500.000 CR,Mid,
2006,Aston Martin,#007 Aston Martin Racing DBR9,R2,825,RWD,"7,2","8,2","9,1","7,9","8,3","8,2",United Kingdom,1.100.000 CR,Front,
2011,Aston Martin,#009 Aston Martin Racing AMR One,R1,976,RWD,"8,9","10,0","9,7","8,5","9,9","9,4",United Kingdom,2.500.000 CR,Mid,April Alpinestars Pack
2008,Aston Martin,#009 Aston Martin Racing DBR9,R2,825,RWD,"7,2","8,2","9,1","7,9","8,3","8,2",United Kingdom,1.100.000 CR,Front,
2011,Aston Martin,#6 Muscle Milk Lola,R1,989,RWD,"9,2","9,9","9,8","8,7","9,8","9,5",United Kingdom,2.500.000 CR,Mid,
2011,Aston Martin,Cygnet,F,157,FWD,"3,0","4,4","3,6","3,8","4,3","3,8",United Kingdom,45.000 CR,Front,Meguiar’s Car Pack
1960,Aston Martin,DB4 GT Zagato,C,354,RWD,"6,0","4,1","6,7","4,7","4,0","5,1",United Kingdom,"2,500,000 CR",Front,September Pennzoil Car Pack
1964,Aston Martin,DB5 Vantage,D,340,RWD,"4,9","4,2","6,4","6,7","4,1","5,2",United Kingdom,450.000 CR,Front,
2003,Aston Martin,DB7 Zagato,A,509,RWD,"8,1","5,0","7,6","7,1","4,9","6,5",United Kingdom,250.000 CR,Front,August Playseat Car Pack
2005,Aston Martin,DB9 Coupe,A,526,RWD,"7,4","5,5","7,1","7,5","5,4","6,6",United Kingdom,130.000 CR,Front,
1958,Aston Martin,DBR1,C,418,RWD,"6,9","4,1","7,2","5,6","3,9","5,5",United Kingdom,6.000.000 CR,Front,
2008,Aston Martin,DBS,A,545,RWD,"8,4","5,4","7,7","7,2","5,4","6,8",United Kingdom,250.000 CR,Front,
2010,Aston Martin,One-77,S,673,RWD,"9,8","5,9","8,7","7,8","5,8","7,6",United Kingdom,1.800.000 CR,Front,
2010,Aston Martin,Rapide,A,517,RWD,"8,6","5,2","7,0","7,2","5,1","6,6",United Kingdom,200.000 CR,Front,
2001,Aston Martin,V12 Vanquish,A,503,RWD,"7,9","5,1","7,2","6,3","5,0","6,3",United Kingdom,90.000 CR,Front,
2010,Aston Martin,V12 Vantage,A,561,RWD,"8,2","5,7","7,7","7,5","5,6","6,9",United Kingdom,270.000 CR,Front,
2011,Aston Martin,V12 Zagato (Villa d'Este),S,617,RWD,"7,8","6,3","8,1","7,7","6,2","7,2",United Kingdom,520.000 CR,Front,March Pirelli Car Pack
1977,Aston Martin,V8 Vantage,C,408,RWD,"6,2","4,3","6,9","7,0","4,3","5,7",United Kingdom,35.000 CR,Front,
1998,Aston Martin,V8 Vantage V600,A,514,RWD,"8,9","4,8","7,7","6,8","4,8","6,6",United Kingdom,180.000 CR,Front,July Car Pack
2012,Aston Martin,Virage,A,535,RWD,"8,7","5,4","7,2","7,3","5,3","6,8",United Kingdom,200.000 CR,Front,November Speed Pack
2011,Audi,#02 Audi A4 Touring Car,R2,833,RWD,"6,9","8,7","9,1","7,9","8,8","8,3",Germany,1.200.000 CR,Front,
2011,Audi,#03 Audi A4 Touring Car,R2,833,RWD,"6,9","8,7","9,1","7,9","8,8","8,3",Germany,1.200.000 CR,Front,
2011,Audi,#04 Audi A4 Touring Car,R2,833,RWD,"6,9","8,7","9,1","7,9","8,8","8,3",Germany,1.200.000 CR,Front,
2011,Audi,#05 Audi A4 Touring Car,R2,833,RWD,"6,9","8,7","9,1","7,9","8,8","8,3",Germany,1.200.000 CR,Front,
2011,Audi,#06 Audi A4 Touring Car,R2,833,RWD,"6,9","8,7","9,1","7,9","8,8","8,3",Germany,1.200.000 CR,Front,
2008,Audi,#2 Audi Sport North America R10 TDI,R1,991,RWD,"9,2","9,8","9,9","8,9","9,8","9,5",Germany,2.500.000 CR,Mid,
2011,Audi,#2 Audi Sport North America R18 TDI ,R1,986,RWD,"8,9","10,0","9,7","8,6","9,9","9,4",Germany,2.500.000 CR,Mid,February ALMS Pack
2006,Audi,#2 Audi Sport North America R8,R1,981,RWD,"8,9","9,9","9,8","8,6","9,8","9,4",Germany,2.200.000 CR,Mid,
1986,Audi,#2 Audi Sport quattro S1 ,R3,730,AWD,"5,9","6,9","9,2","9,6","7,0","7,7",Germany,900.000 CR,Front,February ALMS Pack
2009,Audi,#2 Audi Sport Team Joest R15 TDI,R1,995,RWD,"9,3","9,8","9,8","8,7","9,7","9,5",Germany,2.500.000 CR,Mid,
2011,Audi,#2 Audi Sport Team Joest R15++ TDI,R1,981,RWD,"9,3","9,8","9,7","8,6","9,7","9,4",Germany,2.500.000 CR,Mid,November Speed Pack
2011,Audi,#4 Forza Motorsport R10 TDI,R1,991,RWD,"9,2","9,8","9,9","8,9","9,8","9,5",Germany,2.500.000 CR,Mid,
2004,Audi,#8 Audi ABT TT-R,R2,827,RWD,"6,9","8,7","9,0","7,9","8,7","8,3",Germany,1.200.000 CR,Front,
2009,Audi,Q7 V12 TDI,C,401,AWD,"6,3","3,6","6,3","7,3","3,9","5,5",Germany,100.000 CR,Front,
2008,Audi,R8 4.2 FSI,A,590,AWD,"8,5","5,6","7,6","8,8","5,5","7,2",Germany,120.000 CR,Mid,
2010,Audi,R8 5.2 FSI,S,639,AWD,"8,9","5,7","8,4","9,1","5,7","7,6",Germany,150.000 CR,Mid,
2009,Audi,R8 LMS,R3,744,RWD,"7,7","7,4","8,8","8,5","7,3","8,0",Germany,900.000 CR,Mid,
2006,Audi,RS 4,A,560,AWD,"7,7","5,2","7,4","8,4","5,1","6,8",Germany,42.000 CR,Front,
2011,Audi,RS 5,A,552,AWD,"7,3","5,2","7,1","8,2","5,3","6,6",Germany,105.000 CR,Front,January Jalopnik Pack
2003,Audi,RS 6,B,496,AWD,"7,1","4,8","6,8","7,2","4,8","6,2",Germany,28.000 CR,Front,
2009,Audi,RS 6,A,566,AWD,"8,9","5,2","7,2","8,5","5,2","7,0",Germany,140.000 CR,Front,
1995,Audi,RS2 Avant,B,446,AWD,"5,9","4,8","6,3","7,1","4,7","5,8",Germany,24.000 CR,Front,
2011,Audi,RS3 Sportback,B,482,AWD,"6,3","4,7","6,8","7,9","4,6","6,1",Germany,60.000 CR,Front,November Speed Pack
2000,Audi,S4,C,415,AWD,"5,5","4,7","5,9","6,8","4,6","5,5",Germany,12.000 CR,Front,
2004,Audi,S4,B,459,AWD,"7,1","4,7","6,5","7,5","4,6","6,1",Germany,18.000 CR,Front,
2010,Audi,S4,A,509,AWD,"7,3","5,2","6,7","7,6","5,1","6,4",Germany,46.000 CR,Front,
2007,Audi,S5,A,502,AWD,"7,2","5,1","6,7","7,7","5,0","6,3",Germany,42.000 CR,Front,
1983,Audi,Sport Quattro,B,462,AWD,"5,4","4,5","6,7","7,8","4,4","5,8",Germany,120.000 CR,Front,
2004,Audi,TT Coupe 3.2 quattro,C,421,AWD,"5,5","5,1","5,7","6,4","5,0","5,6",Germany,16.000 CR,Front,
2007,Audi,TT Coupe S-Line,B,467,AWD,"5,7","5,2","6,3","7,1","5,1","5,9",Germany,32.000 CR,Front,
2010,Audi,TT-RS Coupe,A,533,AWD,"7,1","5,2","7,1","8,2","5,0","6,5",Germany,48.000 CR,Front,
1965,Austin-Healey,3000 MkIII,F,173,RWD,"3,3","3,9","4,6","5,0","3,9","4,2",United Kingdom,50.000 CR,Front,May TopGear Car Pack
1958,Austin-Healey,Sprite MKI,F,100,RWD,"3,0","3,7","3,2","3,7","3,6","3,4",United Kingdom,"18,000 CR",Front,September Pennzoil Car Pack
2003,Bentley,#7 Team Bentley Speed 8,R1,971,RWD,"9,6","9,5","9,6","8,4","9,5","9,3",United Kingdom,2.200.000 CR,Mid,
1931,Bentley,8 Litre,E,235,RWD,"3,0","3,9","4,9","4,9","3,8","4,1",United Kingdom,1.000.000 CR,Front,Autovista
2004,Bentley,Continental GT,A,501,AWD,"8,4","4,6","6,8","7,9","4,5","6,4",United Kingdom,190.000 CR,Front,
2010,Bentley,Continental Supersports,A,567,AWD,"9,9","4,8","7,7","9,1","4,8","7,3",United Kingdom,250.000 CR,Front,
2011,Bentley,Platinum Motorsports Continental GT,A,545,AWD,"9,3","4,7","7,4","8,6","4,7","6,9",United Kingdom,550.000 CR,Front,February ALMS Pack
2010,Bertone,Mantide,S,645,RWD,"10,0","6,0","8,5","7,6","5,8","7,6",Italy,1.000.000 CR,Front,
1959,BMW,507,F,189,RWD,"3,5","3,7","5,2","5,7","3,7","4,4",Germany,415.000 CR,Front,Meguiar’s Car Pack
1999,BMW,#15 V12 LMR,R1,971,RWD,"9,1","9,9","9,8","8,6","9,8","9,4",Germany,2.200.000 CR,Mid,
2005,BMW,#2 Team BMW Motorsport M3-GTR,R3,735,RWD,"6,9","7,5","8,9","7,8","7,5","7,7",Germany,900.000 CR,Front,
2001,BMW,#6 Prototype Technology Group M3 GTR,R3,735,RWD,"6,9","7,5","8,9","7,8","7,5","7,7",Germany,900.000 CR,Front,
2010,BMW,#79 Jeff Koons BMW M3 GT2 Art Car,R3,756,RWD,"6,9","7,7","8,9","7,9","7,7","7,8",Germany,1.000.000 CR,Front,
2009,BMW,#92 Rahal Letterman Racing M3 GT2,R3,756,RWD,"6,9","7,7","8,9","7,9","7,7","7,8",Germany,1.000.000 CR,Front,
2009,BMW,135i Coupe,B,487,RWD,"6,3","4,9","6,9","7,2","4,8","6,0",Germany,36.000 CR,Front,
2011,BMW,1-Series M Coupe,B,454,RWD,"6,5","5,1","7,2","7,3","5,0","6,2",Germany,43.000 CR,Front,Pre-order Exclusive
1973,BMW,2002 Turbo,E,268,RWD,"4,0","4,1","6,1","5,9","4,1","4,8",Germany,28.000 CR,Front,
1971,BMW,3.0 CSL,E,255,RWD,"3,6","4,2","5,8","6,0","4,2","4,7",Germany,120.000 CR,Front,
1995,BMW,850CSi,C,423,RWD,"7,5","4,7","6,5","6,8","4,6","6,0",Germany,35.000 CR,Front,March Pirelli Car Pack
1981,BMW,M1,B,451,RWD,"5,5","5,2","6,9","6,6","5,1","5,8",Germany,150.000 CR,Mid,
1981,BMW,M1 BMW Design Art Car,B,451,RWD,"5,5","5,2","6,9","6,6","5,1","5,8",Germany,150.000 CR,Mid,BMW Art Car Pack
1991,BMW,M3 E30,C,357,RWD,"5,1","4,8","6,2","6,6","4,7","5,5",Germany,16.000 CR,Front,
1997,BMW,M3 E36,B,468,RWD,"7,0","4,9","6,9","7,2","4,9","6,2",Germany,10.000 CR,Front,
2005,BMW,M3 E46,B,480,RWD,"6,8","5,1","7,0","7,3","5,0","6,2",Germany,30.000 CR,Front,
2008,BMW,M3 E92,A,508,RWD,"7,7","5,1","7,4","7,2","5,1","6,5",Germany,52.000 CR,Front,
2008,BMW,M3 E92 BMW Design Art Car,A,508,RWD,"7,7","5,1","7,4","7,2","5,1","6,5",Germany,52.000 CR,Front,BMW Art Car Pack
2002,BMW,M3-GTR,A,530,RWD,"7,1","5,4","7,7","7,3","5,3","6,5",Germany,120.000 CR,Front,Unicorn
1995,BMW,M5,C,417,RWD,"6,8","4,8","6,3","7,0","4,7","5,9",Germany,14.000 CR,Front,April Alpinestars Pack
1988,BMW,M5 E28,C,367,RWD,"5,4","4,7","6,1","6,6","4,7","5,5",Germany,19.000 CR,Front,
2003,BMW,M5 E39,B,482,RWD,"8,0","4,8","7,3","6,9","4,7","6,4",Germany,26.000 CR,Front,
2009,BMW,M5 E60,A,509,RWD,"7,6","5,0","7,4","7,3","5,0","6,5",Germany,84.000 CR,Front,
2012,BMW,M5 F10,A,532,RWD,"8,1","5,0","7,6","7,0","5,0","6,6",Germany,90.000 CR,Front,BMW M5 Fan Pack
2012,BMW,M5 F10 BMW Design Art Car,A,532,RWD,"8,1","5,0","7,6","7,0","5,0","6,6",Germany,90.000 CR,Front,BMW Art Car Pack
2010,BMW,M6 Coupe,A,509,RWD,"8,0","5,0","7,4","7,1","5,0","6,5",Germany,95.000 CR,Front,
2010,BMW,M6 Coupe Design Art Car,A,509,RWD,"8,0","5,0","7,4","7,1","5,0","6,5",Germany,95.000 CR,Front,BMW Art Car Pack
1986,BMW,M635CSI,C,373,RWD,"5,3","4,9","5,9","6,5","4,9","5,5",Germany,21.000 CR,Front,
2011,BMW,X5 M,A,508,AWD,"7,0","4,3","7,1","8,3","4,5","6,2",Germany,82.000 CR,Front,
2010,BMW,X6 M,A,506,AWD,"7,2","4,3","7,0","8,2","4,5","6,2",Germany,85.000 CR,Front,
2002,BMW,Z3 M Coupe,B,478,RWD,"6,2","5,0","7,2","7,3","5,0","6,1",Germany,15.000 CR,Front,
2010,BMW,Z4 GT3,R3,721,RWD,"5,8","7,6","8,7","7,9","7,6","7,5",Germany,900.000 CR,Front,
2008,BMW,Z4 M Coupe,B,492,RWD,"6,7","5,2","7,2","7,3","5,1","6,3",Germany,46.000 CR,Front,
2008,BMW,Z4 M Coupe BMW Design Art Car,B,492,RWD,"6,7","5,2","7,2","7,3","5,1","6,3",Germany,46.000 CR,Front,BMW Art Car Pack
2011,BMW,Z4 sDrive 3.5is,B,498,RWD,"7,1","5,1","7,2","7,4","4,9","6,3",Germany,52.000 CR,Front,
2000,BMW,Z8,B,477,RWD,"6,5","4,8","7,3","7,3","4,8","6,1",Germany,125.000 CR,Front,
1992,Bugatti,EB110 SS,S,666,AWD,"9,5","5,9","8,7","9,2","5,8","7,8",France,300.000 CR,Mid,
2009,Bugatti,Veyron 16.4,R3,756,AWD,"10,0","5,9","9,6","9,7","5,9","8,2",France,1.400.000 CR,Mid,
2011,Bugatti,Veyron Super Sport,R2,816,AWD,"10,0","6,3","10,0","10,0","6,2","8,5",France,2.200.000 CR,Mid,Limited Collectors Edition Exclusive
1970,Buick,GSX,D,301,RWD,"5,1","3,5","6,5","5,9","3,5","4,9",United States,77.000 CR,Front,Muscle Car Pack
1987,Buick,Regal GNX,C,403,RWD,"5,4","4,5","6,7","6,6","4,5","5,5",United States,60.000 CR,Front,
2002,Cadillac,#6 Team Cadillac Northstar LMP-02,R1,975,RWD,"9,1","9,8","9,8","8,7","9,8","9,4",United States,2.200.000 CR,Mid,
2004,Cadillac,CTS-V,B,462,RWD,"7,0","4,8","7,3","6,9","4,9","6,2",United States,32.000 CR,Front,
2009,Cadillac,CTS-V,A,517,RWD,"8,0","4,9","7,7","7,0","5,0","6,5",United States,58.000 CR,Front,
2011,Cadillac,CTS-V Coupe,A,528,RWD,"8,5","5,0","7,9","7,2","5,0","6,7",United States,58.000 CR,Front,
1959,Cadillac,Eldorado Biarritz Convertible,F,182,RWD,"3,6","3,5","5,0","5,7","3,7","4,3",United States,180.000 CR,Front,April Alpinestars Pack
2011,Chevrolet,#04 Monte Carlo SS Stock Car,R3,730,RWD,"9,2","7,2","8,6","7,6","7,1","7,9",United States,900.000 CR,Front,
2004,Chevrolet,#3 Corvette Racing C5.R,R2,815,RWD,"7,3","8,3","8,8","7,4","8,4","8,0",United States,1.100.000 CR,Front,
2006,Chevrolet,#4 Corvette Racing C6.R,R2,823,RWD,"7,4","8,1","9,0","7,9","8,2","8,1",United States,1.100.000 CR,Front,
2011,Chevrolet,#4 Corvette Racing ZR1,R3,754,RWD,"7,6","7,8","8,8","7,9","7,6","7,9",United States,1.000.000 CR,Front,Meguiar’s Car Pack
2010,Chevrolet,#55 Level 5 Motorsport Oreca FLM09,R1,910,RWD,"7,3","9,6","9,5","8,4","9,6","8,9",United States,2.000.000 CR,Mid,
2010,Chevrolet,#89 Intersport Racing Oreca FLM09,R1,910,RWD,"7,3","9,6","9,5","8,4","9,6","8,9",United States,2.000.000 CR,Mid,
2010,Chevrolet,#99 Green Earth Team Gunnar Oreca FLM09,R1,910,RWD,"7,3","9,6","9,5","8,4","9,6","8,9",United States,2.000.000 CR,Mid,
1957,Chevrolet,Bel Air ,E,218,RWD,"4,3","3,5","5,5","3,0","3,5","3,9",United States,60.000 CR,Front,November Speed Pack
2002,Chevrolet,Camaro 35th Anniversary SS,C,416,RWD,"6,3","4,8","6,7","6,4","4,6","5,8",United States,22.000 CR,Front,
1990,Chevrolet,Camaro IROC-Z,D,341,RWD,"5,5","4,5","5,9","6,1","4,3","5,3",United States,9.000 CR,Front,
2010,Chevrolet,Camaro SS,B,481,RWD,"6,8","5,0","7,4","7,0","4,9","6,2",United States,36.000 CR,Front,
1969,Chevrolet,Camaro SS Coupe,D,307,RWD,"4,0","3,6","6,7","5,9","3,6","4,8",United States,45.000 CR,Front,Unicorn
1969,Chevrolet,Camaro Z28,D,305,RWD,"4,4","3,6","6,8","5,7","3,5","4,8",United States,45.000 CR,Front,
1970,Chevrolet,Camaro Z28,D,322,RWD,"4,3","3,6","6,9","6,0","3,5","4,8",United States,38.000 CR,Front,
1979,Chevrolet,Camaro Z28,E,209,RWD,"3,1","4,2","5,3","5,7","4,1","4,5",United States,12.000 CR,Front,
2012,Chevrolet,Camaro ZL1,A,572,RWD,"8,3","5,6","8,1","7,5","5,6","7,0",United States,45.000 CR,Front,August Playseat Car Pack
1970,Chevrolet,Chevelle SS 454,D,315,RWD,"3,4","3,4","6,9","5,8","3,4","4,6",United States,48.000 CR,Front,
1967,Chevrolet,Chevelle SS-396,D,329,RWD,"5,2","3,5","6,9","5,8","3,5","5,0",United States,60.000 CR,Front,December IGN Pack
2010,Chevrolet,Cobalt SS Turbocharged,B,455,FWD,"5,9","4,7","6,9","6,3","4,7","5,7",United States,18.000 CR,Front,
1969,Chevrolet,Corvair Monza,F,137,RWD,"3,0","4,0","4,2","4,5","4,2","4,0",United States,12.000 CR,Rear,March Pirelli Car Pack
1953,Chevrolet,Corvette,F,168,RWD,"3,0","3,7","4,6","3,5","3,7","3,7",United States,"210,000 CR",Front,September Pennzoil Car Pack
1960,Chevrolet,Corvette C1,D,277,RWD,"4,6","3,4","6,6","6,0","3,4","4,8",United States,80.000 CR,Front,
1996,Chevrolet,Corvette Grand Sport,B,473,RWD,"7,1","5,3","6,9","6,4","5,1","6,2",United States,30.000 CR,Front,
2010,Chevrolet,Corvette Grand Sport,A,561,RWD,"8,3","5,5","8,0","7,5","5,4","6,9",United States,55.000 CR,Front,
1967,Chevrolet,Corvette Stingray 427,C,398,RWD,"5,0","3,9","7,3","6,3","3,9","5,3",United States,90.000 CR,Front,
2002,Chevrolet,Corvette Z06,A,537,RWD,"7,8","5,5","7,7","6,9","5,3","6,6",United States,31.000 CR,Front,
2006,Chevrolet,Corvette Z06,A,589,RWD,"8,9","5,6","8,3","7,6","5,4","7,2",United States,48.000 CR,Front,
2009,Chevrolet,Corvette ZR1,S,633,RWD,"9,4","5,9","8,5","7,6","5,8","7,4",United States,100.000 CR,Front,
1970,Chevrolet,Corvette ZR-1,C,362,RWD,"3,8","4,0","6,9","6,3","3,9","5,0",United States,85.000 CR,Front,
1970,Chevrolet,El Camino SS 454,D,302,RWD,"5,8","3,0","6,9","5,7","3,0","4,9",United States,26.000 CR,Front,
1996,Chevrolet,Impala SS,D,276,RWD,"5,6","4,5","5,2","5,0","4,3","4,9",United States,9.000 CR,Front,January Jalopnik Pack
1964,Chevrolet,Impala SS 409,D,318,RWD,"5,0","3,8","6,7","5,3","3,8","4,9",United States,35.000 CR,Front,
1966,Chevrolet,Nova SS,D,310,RWD,"4,7","3,6","6,8","5,8","3,6","4,9",United States,78.000 CR,Front,Muscle car pack
