year,make,model,class,pi,drive type,speed,handling,acceleration,launch,braking,average,country,car value,engine position,notes
1969,Chevrolet,Nova SS 396,D,322,RWD,"4,8","3,4","7,0","6,1","3,4","4,9",United States,55.000 CR,Front,March Pirelli Car Pack
2011,Chevrolet,Spark,F,116,FWD,"3,0","4,1","3,5","3,7","4,0","3,7",United States,10.000 CR,Front,
2011,Chevrolet,Volt,F,190,FWD,"3,9","4,2","4,1","3,8","4,1","4,0",United States,33.000 CR,Front,
2012,Chrysler,300 SRT8,B,489,RWD,"7,7","4,7","7,4","6,8","4,7","6,3",United States,28.000 CR,Front,May TopGear Car Pack
2008,Chrysler,300C SRT-8,B,461,RWD,"6,8","4,8","7,2","6,8","4,8","6,1",United States,25.000 CR,Front,
2006,Chrysler,Crossfire SRT6,B,446,RWD,"6,3","4,9","6,9","6,9","4,8","6,0",United States,15.000 CR,Front,
2004,Chrysler,PT Cruiser GT,E,247,FWD,"3,3","3,9","5,3","5,6","3,9","4,4",United States,8.000 CR,Front,
2011,Citroën,C1,F,101,FWD,"3,0","4,2","3,3","3,8","4,2","3,7",France,10.000 CR,Front,
2009,Citroën,C4 VTS,E,275,FWD,"3,9","4,3","5,2","5,7","4,1","4,6",France,22.000 CR,Front,
2011,Citroën,DS3,D,291,FWD,"3,7","4,2","5,5","6,0","4,1","4,7",France,24.000 CR,Front,
2011,Citroën,DS4,D,319,FWD,"4,7","4,7","5,2","5,7","4,5","5,0",France,"38,000 CR",Front,September Pennzoil Car Pack
1971,De Tomaso,Pantera,C,399,RWD,"4,8","4,4","6,7","7,3","4,2","5,5",Italy,45.000 CR,Mid,
1982,DeLorean,DMC-12,F,638,RWD,"3,3","4,7","4,1","4,2","4,5","4,2",United States,14.000 CR,Rear,
2010,Devon,GTX,S,177,RWD,"9,2","6,1","8,5","7,7","5,9","7,5",United States,300.000 CR,Front,
2008,Dodge,#11 Primetime Racing Viper Competition Coupe,R3,730,RWD,"6,9","7,7","8,7","8,1","7,6","7,8",United States,900.000 CR,Front,
2003,Dodge,#126 Team Zakspeed Viper GTS-R,R2,811,RWD,"7,2","8,1","9,3","8,3","8,2","8,2",United States,1.100.000 CR,Front,
2008,Dodge,#2 Mopar Dodge Viper Competition Coupe,R3,730,RWD,"6,9","7,7","8,7","8,1","7,6","7,8",United States,900.000 CR,Front,
2000,Dodge,#91 Team Oreca Viper GTS-R,R2,823,RWD,"7,5","8,1","9,3","8,3","8,2","8,3",United States,1.100.000 CR,Front,
1970,Dodge,Challenger R/T Hemi,C,352,RWD,"4,9","3,7","7,0","5,9","3,7","5,0",United States,120.000 CR,Front,
2009,Dodge,Challenger SRT8,B,464,RWD,"6,9","4,8","7,4","6,7","4,8","6,1",United States,38.000 CR,Front,
2012,Dodge,Challenger SRT8 392,B,498,RWD,"7,4","4,7","7,6","6,7","4,7","6,2",United States,40.000 CR,Front,2013 SRT Viper Bonus Pack
1969,Dodge,Charger Daytona Hemi,C,366,RWD,"6,0","4,0","7,0","6,3","3,9","5,4",United States,350.000 CR,Front,
1969,Dodge,Charger R/T,D,306,RWD,"4,3","3,7","6,7","6,3","3,7","4,9",United States,64.000 CR,Front,
2006,Dodge,Charger SRT8,B,456,RWD,"6,9","4,8","7,1","6,8","4,8","6,1",United States,24.000 CR,Front,
2012,Dodge,Charger SRT8,B,483,RWD,"7,8","4,7","7,3","6,8","4,7","6,3",United States,38.000 CR,Front,November Speed Pack
1970,Dodge,Coronet Super Bee,D,377,RWD,"3,9","3,8","7,1","6,0","3,8","4,9",United States,250.000 CR,Front,Muscle Car Pack
1967,Dodge,Coronet W023,C,377,RWD,"3,0","3,6","7,2","5,9","3,7","4,7",United States,180.000 CR,Front,Muscle Car Pack
1968,Dodge,Dart HEMI Super Stock,C,396,RWD,"3,0","3,7","7,5","6,3","3,7","4,8",United States,350.000 CR,Front,Muscle Car Pack
2010,Dodge,"Quinton ""Rampage"" Jackson Challenger SRT8 ",B,498,RWD,"7,2","5,2","7,5","6,8","5,1","6,4",United States,95.000 CR,Front,February ALMS Pack
2006,Dodge,Ram SRT-10,C,380,RWD,"5,5","3,7","7,2","6,8","4,0","5,4",United States,24.000 CR,Front,
1986,Dodge,Shelby Omni GLHS,D,309,FWD,"3,8","4,5","5,9","6,0","4,4","4,9",United States,5.000 CR,Front,January Jalopnik Pack
2005,Dodge,SRT4 ACR,B,429,FWD,"5,1","4,6","6,8","6,4","4,6","5,5",United States,9.000 CR,Front,
1996,Dodge,Stealth R/T Turbo,B,440,AWD,"6,2","4,9","6,1","6,7","4,7","5,7",United States,8.000 CR,Front,
2003,Dodge,Viper Competition Coupe,R3,724,RWD,"6,8","7,6","8,7","8,1","7,5","7,7",United States,900.000 CR,Front,
1999,Dodge,Viper GTS ACR,A,547,RWD,"7,7","5,6","7,8","7,5","5,5","6,8",United States,44.000 CR,Front,
2003,Dodge,Viper SRT-10,A,580,RWD,"8,8","5,6","8,2","7,6","5,4","7,1",United States,42.000 CR,Front,
2008,Dodge,Viper SRT-10 ACR,S,653,RWD,"7,5","6,9","8,4","7,4","6,9","7,4",United States,100.000 CR,Front,
1998,Eagle,Talon TSi Turbo,C,392,AWD,"5,4","4,8","5,7","6,4","4,6","5,4",United States,6.000 CR,Front,
1998,Ferrari,#12 Risi Competizione F333 SP,R1,978,RWD,"8,9","9,8","9,9","8,9","9,8","9,4",Italy,2.200.000 CR,Mid,
1971,Ferrari,#2 Ferrari Automobili 312 P,R3,800,RWD,"7,0","8,0","9,9","9,3","8,0","8,4",Italy,1.600.000 CR,Mid,March Pirelli Car Pack
2006,Ferrari,#62 Risi Competizione F430 GT2,R3,763,RWD,"6,9","7,6","9,1","8,2","7,6","7,9",Italy,1.000.000 CR,Mid,
2011,Ferrari,#62 Risi Competizione F458 Italia,R3,763,RWD,"7,0","7,7","9,1","8,6","7,8","8,0",Italy,1.000.000 CR,Mid,November Speed Pack
2010,Ferrari,#83 Risi Competizione/Krohn F430 GT2,R3,763,RWD,"6,9","7,6","9,1","8,2","7,6","7,9",Italy,1.000.000 CR,Mid,
2010,Ferrari,#89 Hankook-Team Farnbacher F430 GT2,R3,763,RWD,"6,9","7,6","9,1","8,2","7,6","7,9",Italy,1.000.000 CR,Mid,
2008,Ferrari,#90 Farnbacher Racing F430 GT2,R3,763,RWD,"6,9","7,6","9,1","8,2","7,6","7,9",Italy,1.000.000 CR,Mid,
1957,Ferrari,250 California,D,302,RWD,"4,9","3,9","6,6","5,3","3,9","4,9",Italy,3.000.000 CR,Front,
1964,Ferrari,250 GTO,B,440,RWD,"6,6","4,8","7,0","5,3","4,5","5,6",Italy,10.000.000 CR,Front,
1957,Ferrari,250 Testa Rossa,C,361,RWD,"5,7","3,5","7,3","6,4","3,5","5,3",Italy,8.000.000 CR,Front,
1967,Ferrari,330 P4,A,570,RWD,"7,9","4,9","8,8","8,1","4,8","6,9",Italy,9.000.000 CR,Mid,
1999,Ferrari,360 Modena,A,550,RWD,"7,3","5,6","7,7","8,1","5,5","6,8",Italy,90.000 CR,Mid,
1968,Ferrari,365 GTB/4 Daytona,C,415,RWD,"6,7","4,2","7,3","6,6","4,2","5,8",Italy,270.000 CR,Front,
2007,Ferrari,430 Scuderia,S,648,RWD,"9,1","5,9","8,6","8,2","5,8","7,6",Italy,270.000 CR,Mid,Unicorn
2011,Ferrari,458 Challenge,R3,730,RWD,"7,9","6,9","9,0","8,7","6,9","7,9",Italy,357.000 CR,Mid,Limited Collectors Edition Exclusive
2010,Ferrari,458 Italia,S,645,RWD,"9,7","6,1","8,6","8,3","6,0","7,7",Italy,240.000 CR,Mid,
1991,Ferrari,512 TR,B,499,RWD,"7,5","5,3","7,1","6,2","5,1","6,2",Italy,75.000 CR,Mid,
2002,Ferrari,575M Maranello,A,532,RWD,"8,1","5,1","7,8","7,5","5,0","6,7",Italy,120.000 CR,Front,
2006,Ferrari,599 GTB Fiorano,S,630,RWD,"9,5","5,7","8,6","7,9","5,7","7,5",Italy,310.000 CR,Front,
2011,Ferrari,599 GTO,S,677,RWD,"8,9","6,1","8,9","8,0","6,2","7,6",Italy,370.000 CR,Front,
2010,Ferrari,599XX,R3,773,RWD,"8,8","7,3","9,1","8,1","7,3","8,1",Italy,1.500.000 CR,Front,
2004,Ferrari,612 Scaglietti,A,538,RWD,"8,5","5,1","7,7","7,7","5,1","6,8",Italy,130.000 CR,Front,
2009,Ferrari,California,A,523,RWD,"8,3","5,2","7,3","7,6","5,1","6,7",Italy,220.000 CR,Front,
2003,Ferrari,Challenge Stradale,A,588,RWD,"7,6","6,2","7,8","8,3","6,0","7,2",Italy,160.000 CR,Mid,Unicorn
1969,Ferrari,Dino 246 GT,D,300,RWD,"4,6","4,4","6,0","5,1","4,3","4,9",Italy,55.000 CR,Mid,
2002,Ferrari,Enzo Ferrari,S,700,RWD,"9,6","6,5","9,0","8,3","6,4","8,0",Italy,1.300.000 CR,Mid,
1994,Ferrari,F355 Berlinetta,A,505,RWD,"7,5","5,3","7,4","7,1","5,1","6,5",Italy,58.000 CR,Mid,
1995,Ferrari,F355 Challenge,A,548,RWD,"6,7","6,0","7,6","7,7","5,9","6,8",Italy,75.000 CR,Mid,
1987,Ferrari,F40,S,614,RWD,"8,0","6,2","8,4","8,3","6,0","7,4",Italy,380.000 CR,Mid,
1989,Ferrari,F40 Competizione,R2,835,RWD,"9,8","7,9","9,6","8,3","7,8","8,7",Italy,1.500.000 CR,Mid,
2004,Ferrari,F430,A,598,RWD,"8,6","5,7","8,2","8,1","5,6","7,2",Italy,150.000 CR,Mid,
1995,Ferrari,F50,S,617,RWD,"8,2","6,4","8,4","7,6","6,2","7,4",Italy,400.000 CR,Mid,
1996,Ferrari,F50 GT,R2,875,RWD,"8,2","8,6","9,6","8,7","8,6","8,7",Italy,1.200.000 CR,Mid,
2011,Ferrari,FF,S,638,AWD,"8,9","5,2","8,7","9,5","5,2","7,5",Italy,280.000 CR,Front,
2005,Ferrari,FXX,R3,800,RWD,"8,0","7,8","9,4","8,5","7,8","8,3",Italy,2.500.000 CR,Mid,
1984,Ferrari,GTO,A,534,RWD,"7,3","5,3","7,9","7,7","5,1","6,6",Italy,320.000 CR,Mid,
2000,Fiat,Coupe 20V Turbo,C,411,FWD,"5,3","4,6","6,3","6,8","4,5","5,5",Italy,7.000 CR,Front,January Jalopnik Pack
2010,Fiat,Punto EVO Sport,E,243,FWD,"3,2","4,1","5,0","5,4","4,0","4,3",Italy,20.000 CR,Front,
2011,Ford,#05 Ford Racing Fusion Stock Car,R3,729,RWD,"9,2","7,2","8,6","7,6","7,1","7,9",United States,900.000 CR,Front,
2011,Ford,#17 Dick Johnson Racing Team FG Falcon,R3,709,RWD,"7,2","7,2","8,5","7,2","7,2","7,5",United States,900.000 CR,Front,
2011,Ford,#19 Mother Energy Racing Team FG Falcon,R3,709,RWD,"7,2","7,2","8,5","7,2","7,2","7,5",United States,900.000 CR,Front,
2011,Ford,#4 IRWIN Racing FG Falcon,R3,709,RWD,"7,2","7,2","8,5","7,2","7,2","7,5",United States,900.000 CR,Front,
2009,Ford,#40 Robertson Racing Ford GT Mk.7,R3,761,RWD,"7,0","7,7","8,6","7,3","7,7","7,7",United States,1.000.000 CR,Mid,
2011,Ford,#5 Ford Performance Racing FG Falcon,R3,709,RWD,"7,2","7,2","8,5","7,2","7,2","7,5",United States,900.000 CR,Front,
2011,Ford,#9 SP Tools Racing FG Falcon,R3,709,RWD,"7,2","7,2","8,5","7,2","7,2","7,5",United States,900.000 CR,Front,
1966,Ford,Country Squire,E,207,RWD,"4,1","3,0","5,9","5,3","3,1","4,3",United States,12.000 CR,Front,March Pirelli Car Pack
1940,Ford,De Luxe Coupe,F,100,RWD,"3,0","3,7","3,0","3,1","3,8","3,3",United States,36.000 CR,Front,Meguiar’s Car Pack
1992,Ford,Escort RS Cosworth,C,371,AWD,"4,1","5,1","5,5","6,3","5,0","5,2",United States,24.000 CR,Front,
1977,Ford,Escort RS1800,E,201,RWD,"3,0","4,1","5,4","6,1","4,1","4,5",United States,35.000 CR,Front,December IGN Pack
2011,Ford,F-150 SVT Raptor,D,280,AWD,"4,5","3,4","5,2","5,8","3,6","4,5",United States,42.000 CR,Front,December IGN Pack
1964,Ford,Fairlane Thunderbolt,C,427,RWD,"3,2","3,8","7,7","6,7","3,9","5,1",United States,200.000 CR,Front,Muscle Car Pack
1973,Ford,Falcon GT XB,D,293,RWD,"4,6","3,7","6,5","5,8","3,7","4,9",United States,50.000 CR,Front,
2009,Ford,Fiesta Zetec S,E,266,FWD,"3,2","4,6","5,3","5,6","4,5","4,6",United States,19.000 CR,Front,
2009,Ford,Focus RS,B,468,FWD,"5,2","4,9","7,1","6,5","4,8","5,7",United States,38.000 CR,Front,
2006,Ford,Focus ST,C,365,FWD,"4,9","4,4","6,0","6,3","4,3","5,2",United States,14.000 CR,Front,
2013,Ford,Focus ST ,B,439,FWD,"5,2","4,9","6,5","6,4","4,8","5,6",United States,32.000 CR,Front,November Speed Pack
2010,Ford,Fusion Sport,C,372,AWD,"5,7","4,6","5,6","6,1","4,4","5,3",United States,28.000 CR,Front,
2005,Ford,GT,A,578,RWD,"8,9","5,6","8,1","6,9","5,5","7,0",United States,150.000 CR,Mid,
1966,Ford,GT40 MK II,A,562,RWD,"7,2","5,1","8,0","6,2","5,1","6,3",United States,1.500.000 CR,Mid,
2011,Ford,Ka,F,100,FWD,"3,0","4,4","3,0","3,2","4,4","3,6",United States,10.000 CR,Front,
2013,Ford,Mustang Boss 302,A,519,RWD,"7,6","4,9","7,8","6,9","4,9","6,4",United States,42.000 CR,Front,August Playseat Car Pack
1970,Ford,Mustang Boss 429,D,321,RWD,"4,7","3,8","6,8","5,8","3,7","5,0",United States,120.000 CR,Front,
1995,Ford,Mustang Cobra R,C,412,RWD,"5,5","4,8","6,6","6,7","4,8","5,7",United States,27.000 CR,Front,February ALMS Pack
2000,Ford,Mustang Cobra R,B,494,RWD,"7,1","5,2","7,4","6,7","5,1","6,3",United States,40.000 CR,Front,
2005,Ford,Mustang GT,C,372,RWD,"5,7","4,4","6,5","6,6","4,3","5,5",United States,18.000 CR,Front,
1965,Ford,Mustang GT Coupe,D,285,RWD,"4,2","3,4","6,8","6,1","3,4","4,8",United States,26.000 CR,Front,Launch Bonus Car Pack
1978,Ford,Mustang King Cobra,F,174,RWD,"3,1","4,1","4,9","5,3","4,0","4,3",United States,5.000 CR,Front,
1971,Ford,Mustang Mach 1,D,333,RWD,"3,7","3,7","6,8","5,7","3,6","4,7",United States,40.000 CR,Front,
1973,Ford,Pinto,F,100,RWD,"3,0","4,0","3,6","4,0","4,1","3,7",United States,5.000 CR,Front,January Jalopnik Pack
1985,Ford,RS200 Evolution,S,660,AWD,"4,8","5,8","9,0","9,0","5,8","6,9",United States,120.000 CR,Mid,
2007,Ford,Shelby GT500,B,477,RWD,"7,0","4,8","7,3","6,6","4,7","6,1",United States,45.000 CR,Front,Unicorn
2010,Ford,Shelby GT500,B,498,RWD,"7,9","4,9","7,4","6,6","4,8","6,3",United States,48.000 CR,Front,
1987,Ford,Sierra RS500 Cosworth,C,388,RWD,"4,9","5,0","6,3","6,9","4,9","5,6",United States,52.000 CR,Front,
1993,Ford,SVT Cobra R,D,295,RWD,"4,5","4,8","6,0","6,4","4,7","5,3",United States,12.000 CR,Front,
2003,Ford,SVT Focus,D,346,FWD,"3,6","4,3","5,3","5,5","4,3","4,6",United States,7.000 CR,Front,
2010,Ford,Taurus SHO,B,447,AWD,"6,6","4,6","6,4","7,0","4,5","5,8",United States,36.000 CR,Front,
1957,Ford,Thunderbird,D,276,RWD,"4,0","3,5","6,2","5,2","3,5","4,5",United States,60.000 CR,Front,
2011,Ford,Transit SuperSportVan,F,145,RWD,"3,0","3,5","4,1","4,3","3,5","3,7",United States,28.000 CR,Front,May TopGear Car Pack
1991,GMC,Syclone,C,385,AWD,"4,6","3,7","6,2","7,2","3,8","5,1",United States,12.000 CR,Front,
1992,GMC,Typhoon,C,376,AWD,"4,5","3,6","6,2","7,2","3,7","5,0",United States,12.000 CR,Front,November Speed Pack
1983,GMC,Vandura G-1500,F,100,RWD,"3,0","3,0","3,0","3,0","3,1","3,0",United States,"5,000 CR",Front,September Pennzoil Car Pack
2010,Gumpert,Apollo S,R3,749,RWD,"7,5","6,9","9,4","8,6","7,0","7,9",Germany,320.000 CR,Mid,
2012,Hennessey,Venom GT,R3,782,RWD,"10,0","6,4","9,3","8,5","6,4","8,1",United States,900.000 CR,Mid,May TopGear Car Pack
2011,Holden,#1 Toll Holden Racing Commodore VE,R3,709,RWD,"7,3","7,2","8,5","7,2","7,2","7,5",Australia,900.000 CR,Front,
2011,Holden,#11 Pepsi Max Crew Commodore VE,R3,709,RWD,"7,3","7,2","8,5","7,2","7,2","7,5",Australia,900.000 CR,Front,
2011,Holden,#33 Fujitsu Racing GRM Commodore VE,R3,709,RWD,"7,3","7,2","8,5","7,2","7,2","7,5",Australia,900.000 CR,Front,
2011,Holden,#8 Team BOC Commodore VE,R3,709,RWD,"7,3","7,2","8,5","7,2","7,2","7,5",Australia,900.000 CR,Front,
2011,Holden,#88 Team Vodafone Commodore VE,R3,709,RWD,"7,3","7,2","8,5","7,2","7,2","7,5",Australia,900.000 CR,Front,
2011,Holden,HSV GTS ,B,460,RWD,"7,0","4,8","7,2","6,9","4,7","6,1",Australia,65.000 CR,Front,February ALMS Pack
2009,Holden,HSV w427,A,504,RWD,"7,6","4,9","7,6","7,1","4,9","6,4",Australia,110.000 CR,Front,
2005,Honda,#18 Takata Dome NSX,R2,859,RWD,"7,3","8,9","9,2","8,4","8,9","8,5",Japan,1.500.000 CR,Mid,
2011,Honda,#33 Level 5 Motorsports Lola,R1,947,RWD,"8,5","9,7","9,6","8,5","9,6","9,2",Japan,2.000.000 CR,Mid,January Jalopnik Pack
1994,Honda,Civic 1.5 VTi,E,260,FWD,"3,7","4,5","5,0","5,4","4,4","4,6",Japan,5.000 CR,Front,
1999,Honda,Civic Si Coupe,D,279,FWD,"3,8","4,4","5,4","5,7","4,4","4,7",Japan,7.000 CR,Front,
2006,Honda,Civic Si Coupe,C,371,FWD,"5,1","4,8","5,9","6,1","4,6","5,3",Japan,16.000 CR,Front,
2012,Honda,Civic Si Coupe,C,383,FWD,"4,9","4,7","6,2","6,1","4,6","5,3",Japan,20.000 CR,Front,January Jalopnik Pack
1997,Honda,Civic Type-R,C,390,FWD,"4,9","4,9","5,9","6,2","4,8","5,4",Japan,9.000 CR,Front,
2004,Honda,Civic Type-R,C,377,FWD,"4,8","4,4","6,3","6,2","4,3","5,2",Japan,12.000 CR,Front,
2007,Honda,Civic Type-R,C,390,FWD,"5,0","5,1","5,9","6,2","4,9","5,4",Japan,18.000 CR,Front,
1995,Honda,CR-X Del Sol SiR,D,280,FWD,"3,7","4,2","5,6","5,9","4,1","4,7",Japan,5.000 CR,Front,
1991,Honda,CR-X SiR,D,332,FWD,"5,1","4,0","5,8","6,1","3,8","5,0",Japan,5.000 CR,Front,
2011,Honda,CR-Z EX,F,189,FWD,"3,0","4,6","4,3","4,6","4,4","4,2",Japan,21.000 CR,Front,Pre-order Exclusive
2009,Honda,Fit Sport,E,212,FWD,"3,0","4,4","4,6","5,0","4,4","4,3",Japan,12.000 CR,Front,
2000,Honda,Integra Type-R,C,393,FWD,"4,9","4,9","6,0","6,3","4,8","5,4",Japan,8.000 CR,Front,
2002,Honda,Integra Type-R,C,391,FWD,"4,8","4,8","6,1","6,3","4,7","5,3",Japan,12.000 CR,Front,
2004,Honda,Mugen Civic Type-R,C,412,FWD,"5,4","5,0","6,1","6,4","4,9","5,6",Japan,14.000 CR,Front,Unicorn
2010,Honda,Mugen Civic Type-R 3D,B,446,FWD,"5,1","5,3","6,4","6,5","5,2","5,7",Japan,55.000 CR,Front,
2002,Honda,Mugen Integra Type-R,B,435,FWD,"5,1","5,5","6,2","6,5","5,3","5,7",Japan,14.000 CR,Front,Unicorn
1992,Honda,NSX-R,B,480,RWD,"6,5","5,2","7,2","7,5","5,1","6,3",Japan,90.000 CR,Mid,
2005,Honda,NSX-R,A,515,RWD,"6,9","5,6","7,3","7,6","5,4","6,6",Japan,120.000 CR,Mid,
2005,Honda,NSX-R GT,A,529,RWD,"6,5","5,9","7,4","7,7","5,8","6,7",Japan,900.000 CR,Mid,Unicorn
2000,Honda,Prelude SiR,D,348,FWD,"4,8","4,8","5,5","5,9","4,6","5,1",Japan,6.000 CR,Front,
2003,Honda,S2000,B,435,RWD,"6,0","5,1","6,6","6,6","5,0","5,9",Japan,14.000 CR,Front,
1952,Hudson,Hornet,F,138,RWD,"3,0","3,6","4,4","5,0","3,8","3,9",United States,66.000 CR,Front,July Car Pack
2006,Hummer,H1 Alpha,F,151,AWD,"3,0","3,8","3,4","3,5","4,0","3,5",United States,120.000 CR,Front,
2011,Hyundai,#67 Rhys Millen Racing Veloster ,S,693,AWD,"4,3","6,0","8,9","9,9","6,0","7,0",Korea,350.000 CR,Front,Hyundai Veloster Bonus Pack
2010,Hyundai,Forza Motorsport Genesis Coupe,R2,859,RWD,"6,8","9,2","9,2","8,2","9,2","8,5",Korea,1.500.000 CR,Front,
2010,Hyundai,Genesis Coupe,C,411,RWD,"6,4","4,8","6,5","6,5","4,6","5,8",Korea,26.000 CR,Front,
2013,Hyundai,Genesis Coupe 3.8 Track,B,454,RWD,"6,9","4,9","7,0","6,6","4,8","6,0",Korea,32.000 CR,Front,August Playseat Car Pack
2011,Hyundai,ix20,F,114,FWD,"3,0","4,4","3,1","3,2","4,3","3,6",Korea,10.000 CR,Front,
2010,Hyundai,Rhys Millen Racing Red Bull Genesis Coupe,S,670,RWD,"5,7","6,3","8,7","7,6","6,4","6,9",Korea,240.000 CR,Front,
2003,Hyundai,Tuscani Elisa,D,289,FWD,"4,0","4,7","5,2","5,7","4,6","4,9",Korea,8.000 CR,Front,
2013,Hyundai,Veloster Turbo,C,355,FWD,"4,5","4,8","5,7","6,0","4,6","5,1",Korea,22.000 CR,Front,Hyundai Veloster Bonus Pack
2003,Infiniti,G35,C,421,RWD,"6,7","4,9","6,4","6,9","4,8","5,9",United States,16.000 CR,Front,
2008,Infiniti,G37 Coupe Sport,B,442,RWD,"7,1","4,9","6,7","6,9","4,8","6,1",United States,32.000 CR,Front,
2010,Jaguar,#33 RSR XKR GT,R3,752,RWD,"7,0","7,8","8,8","8,0","7,7","7,8",United Kingdom,1.000.000 CR,Front,
1956,Jaguar,D-Type,C,410,RWD,"7,0","4,3","6,6","4,1","4,1","5,2",United Kingdom,3.000.000 CR,Front,
1961,Jaguar,E-type S1,D,304,RWD,"4,3","4,1","5,6","6,3","4,1","4,9",United Kingdom,75.000 CR,Front,
2010,Jaguar,XFR,A,501,RWD,"9,0","4,4","7,5","6,9","4,3","6,4",United Kingdom,80.000 CR,Front,
1993,Jaguar,XJ220,S,618,RWD,"8,8","5,9","8,5","7,6","5,7","7,3",United Kingdom,180.000 CR,Mid,
1954,Jaguar,XK120 SE,E,237,RWD,"3,8","3,8","5,5","6,1","3,9","4,6",United Kingdom,140.000 CR,Front,July Car Pack
2009,Jaguar,XKR-S,A,524,RWD,"7,6","5,3","7,3","7,0","5,2","6,5",United Kingdom,100.000 CR,Front,
